Tytul;Moja_ocena;Srednia_ocena;Premiera;Rok;Liczba_glosow;Gatunek;Produkcja;Dlugosc;Rezyser
[Rec] 3: Geneza;2;3.8;9 marzec 2012;2012;28 490;Horror;Hiszpania;1 godz. 20 min.;Paco Plaza
[Rec] 2;4;6.0;2 wrzesieÒ 2009;2009;54 388;Horror;Hiszpania;1 godz. 25 min.;Jaume BalaguerÛ
[Rec];5;6.5;29 sierpieÒ 2007;2007;146 496;Horror;Hiszpania;1 godz. 20 min.;Jaume BalaguerÛ
Polaroid;4;4.9;10 styczeÒ 2019;2019;11 052;Horror;Kanada;1 godz. 28 min.;Lars Klevberg
Nie s≥uchaj ich;7;6.1;24 lipiec 2020;2020;4 777;Horror;Hiszpania;1 godz. 38 min.;Angel GÛmez Hern·ndez
Zabawa w pochowanego;6;6.6;27 lipiec 2019;2019;25 980;Horror;USA;1 godz. 35 min.;Matt Bettinelli-Olpin
21;5;7.2;7 marzec 2008;2008;96 637;Krymina≥;USA;2 godz. 3 min.;Robert Luketic
Inni;NaN;7.4;2 sierpieÒ 2001;2001;203 164;Thriller;Francja;1 godz. 41 min.;Alejandro Amen·bar
1917;8;7.7;25 grudzieÒ 2019;2019;65 710;Wojenny;Hiszpania;1 godz. 59 min.;Sam Mendes
Misja Greyhound;8;6.8;10 lipiec 2020;2020;8 301;Dramat;USA;1 godz. 31 min.;Aaron Schneider
Niewidzialny cz≥owiek;6;6.7;26 luty 2020;2020;23 960;Horror;Australia;2 godz. 4 min.;Leigh Whannell
Midsommar. W bia≥y dzieÒ;7;6.7;3 lipiec 2019;2019;43 634;Horror;Szwecja;2 godz. 27 min.;Ari Aster
Wystrza≥owa miss;7;5.9;25 styczeÒ 2019;2019;3 980;Dramat;USA;1 godz. 44 min.;Catherine Hardwicke
WzgÛrza majπ oczy;8;5.9;10 marzec 2006;2006;77 555;Horror;Francja;1 godz. 47 min.;Alexandre Aja
Wiwarium;4;5.7;18 maj 2019;2019;3 058;Sci-Fi;Belgia;1 godz. 37 min.;Lorcan Finnegan
Na linii ognia;4;7.2;8 lipiec 1993;1993;22 954;Dramat;USA;2 godz. 8 min.;Wolfgang Petersen
Shutter - Widmo;4;5.5;19 marzec 2008;2008;17 741;Horror;USA;1 godz. 25 min.;Masayuki Ochiai
Podaj dalej;7;7.6;12 paüdziernik 2000;2000;172 239;Dramat;USA;2 godz. 4 min.;Mimi Leder
Padlina;4;4.5;22 paüdziernik 2020;2020;3 867;Dramat;Norwegia;1 godz. 26 min.;Jarand Breian Herdal
Doomsday;7;5.5;14 marzec 2008;2008;19 888;Akcja;Niemcy;1 godz. 45 min.;Neil Marshall
DwÛch papieøy;6;7.3;31 sierpieÒ 2019;2019;100 125;Dramat;Argentyna;2 godz. 5 min.;Fernando Meirelles
Gwiazd naszych wina;4;7.5;16 maj 2014;2014;218 362;Dramat;USA;2 godz. 5 min.;Josh Boone
Ciacho;7;3.6;8 styczeÒ 2010;2010;87 180;Komedia;Polska;1 godz. 55 min.;Patryk Vega
Suspiria;5;6.4;1 wrzesieÒ 2018;2018;23 809;Horror;USA;2 godz. 32 min.;Luca Guadagnino
Noc oczyszczenia: Anarchia;5;6.3;18 czerwiec 2014;2014;52 752;Thriller;Francja;1 godz. 43 min.;James DeMonaco
Moneyball;7;7.3;9 wrzesieÒ 2011;2011;78 352;Biograficzny;USA;2 godz. 13 min.;Bennett Miller
Przemytnik;7;7.0;10 grudzieÒ 2018;2018;61 225;Dramat;USA;1 godz. 56 min.;Clint Eastwood
S≥aby punkt;5;7.6;11 kwiecieÒ 2007;2007;155 776;Thriller;Niemcy;1 godz. 52 min.;Gregory Hoblit
Proces SiÛdemki z Chicago;8;7.3;1 paüdziernik 2020;2020;19 754;Dramat sπdowy;USA;2 godz. 9 min.;Aaron Sorkin
NiepokÛj;5;7.1;4 kwiecieÒ 2007;2007;74 825;Thriller;USA;1 godz. 45 min.;D.J. Caruso
Pe≥zajπca úmierÊ;6;5.4;10 lipiec 2019;2019;10 377;Horror;USA;1 godz. 27 min.;Alexandre Aja
Dead Silence;4;6.4;16 marzec 2007;2007;32 866;Horror;USA;1 godz. 30 min.;James Wan
7500;6;6.1;9 sierpieÒ 2019;2019;1 065;Dramat;Niemcy;1 godz. 32 min.;Patrick Vollrath
Szko≥a rocka;4;6.7;9 wrzesieÒ 2003;2003;45 565;Komedia;Niemcy;1 godz. 48 min.;Richard Linklater
Serce do walki;NaN;4.6;9 grudzieÒ 2019;2019;1 424;Dramat;Polska;1 godz. 37 min.;Kacper Anuszewski
Get a Job;NaN;5.4;25 marzec 2016;2016;7 568;Komedia;USA;1 godz. 23 min.;Dylan Kidd
Obsesja zazdroúci;4;5.7;17 styczeÒ 2014;2014;5 227;Thriller;USA;1 godz. 24 min.;Sam Miller
ZÍby;6;3.8;19 styczeÒ 2007;2007;10 662;Czarna komedia;USA;1 godz. 34 min.;Mitchell Lichtenstein
Egzorcysta 2;1;5.1;17 czerwiec 1977;1977;121 432;Horror;USA;2 godz. 2 min.;William Friedkin
Halloween;8;5.8;8 wrzesieÒ 2018;2018;20 845;Horror;USA;1 godz. 49 min.;David Gordon Green
Oszukana;7;7.8;20 maj 2008;2008;182 135;Dramat obyczajowy;USA;2 godz. 20 min.;Clint Eastwood
W samym sercu morza;9;6.8;2 grudzieÒ 2015;2015;37 346;Dramat;Australia;2 godz. 1 min.;Ron Howard
Dziewczyna z szafy;6;6.9;5 wrzesieÒ 2012;2012;34 890;Dramat;Polska;1 godz. 30 min.;Bodo Kox
Skrzydlate úwinie;8;6.0;5 listopad 2010;2010;77 389;Dramat;Polska;1 godz. 39 min.;Anna Kazejak
The Ring;5;6.9;2 paüdziernik 2002;2002;215 945;Horror;Japonia;1 godz. 55 min.;Gore Verbinski
Wojna o prπd;7;6.2;9 wrzesieÒ 2017;2017;9 873;Biograficzny;USA;1 godz. 45 min.;Alfonso Gomez-Rejon
O psie, ktÛry wrÛci≥ do domu;7;6.8;9 styczeÒ 2019;2019;10 365;Familijny;USA;1 godz. 36 min.;Charles Martin Smith
Diabe≥ wcielony;7;7.2;16 wrzesieÒ 2020;2020;34 689;Dramat;USA;2 godz. 18 min.;Antonio Campos
Enola Holmes;7;6.4;23 wrzesieÒ 2020;2020;44 844;Krymina≥;USA;2 godz. 3 min.;Harry Bradbeer
Cube Zero;6;5.7;15 paüdziernik 2004;2004;19 484;Thriller;Kanada;1 godz. 37 min.;Ernie Barbarash
Cube 2;4;5.9;29 lipiec 2002;2002;37 226;Thriller;Kanada;1 godz. 35 min.;Andrzej Seku≥a
Cube;3;7.0;9 wrzesieÒ 1997;1997;163 709;Thriller;Kanada;1 godz. 30 min.;Vincenzo Natali
Polowanie;7;5.8;11 marzec 2020;2020;9 077;Thriller;USA;1 godz. 29 min.;Craig Zobel
Blow;7;7.8;29 marzec 2001;2001;215 033;Biograficzny;USA;2 godz. 4 min.;Ted Demme
Diabe≥;6;6.2;16 wrzesieÒ 2010;2010;44 746;Horror;USA;1 godz. 20 min.;John Erick Dowdle
Opiekunka: Demoniczna krÛlowa;4;5.2;10 wrzesieÒ 2020;2020;7 514;Horror;USA;1 godz. 42 min.;McG
Arktyka;6;6.7;10 maj 2018;2018;15 344;Dramat;Islandia;1 godz. 37 min.;Joe Penna
ZabÛjcze maszyny;7;5.9;5 grudzieÒ 2018;2018;31 039;Sci-Fi;Nowa Zelandia;2 godz. 8 min.;Christian Rivers
ByÊ jak John Malkovich;6;7.3;2 wrzesieÒ 1999;1999;57 586;Surrealistyczny;USA;1 godz. 52 min.;Spike Jonze
Rodzina od zaraz;7;7.3;15 listopad 2018;2018;26 300;Komedia obycz.;USA;1 godz. 59 min.;Sean Anders
